model_name loss_func psi n_pairs train_time sigma_train sigma_test E_train E_test E_max_train E_max_test
100_500_100_1_seed1234 weighted_MAPE -0.01 100000 7418.009694 0.001649682294 0.001654716325 4.31576791e-06 4.341574368e-06 0.01496974938 0.01565123536
100_500_100_1_seed1234 weighted_MAPE -10.0 100000 391.9480493 1.990757585 1.991760969 787.4946899 770.2206421 851.3676147 856.1365967
100_500_100_1_seed1234 weighted_MAPE -3.0 100000 7536.422014 0.005813282449 0.005986620672 6.667840353e-05 7.183925482e-05 0.04738205299 0.04993518814
100_500_100_1_seed1234 weighted_MAPE -4.0 100000 5339.474297 0.009149463847 0.009591439739 0.000219852227 0.0002515891683 0.09608193487 0.1046044603
100_500_100_1_seed1234 weighted_MAPE -4.5 100000 4369.153453 0.01051195245 0.0112376716 0.0004303052265 0.0005603371537 0.145726651 0.1682911068
100_500_100_1_seed1234 weighted_MAPE -5.0 100000 5257.395995 0.01147906762 0.01210804656 0.0007680363487 0.0008569917409 0.1722815186 0.1880865395
100_500_100_1_seed1234 weighted_MAPE -5.5 100000 6319.046108 0.009378410876 0.01017559599 0.0004034610174 0.0005144782481 0.1411330104 0.1660626084
100_500_100_1_seed1234 weighted_MAPE -6.0 100000 6061.751497 0.008152860217 0.008735951036 0.0002119418787 0.000266432151 0.1072129607 0.1260768175
100_500_100_1_seed1234 weighted_MAPE -8.0 100000 4397.440999 0.006537494715 0.006696553435 7.514980098e-05 7.888462278e-05 0.04213470966 0.04288954288
